Time,WR,HR,VE,BF,VO2rel,HRR,VO2,Unnamed: 8,Unnamed: 9,Unnamed: 10
411.0,96.25,101.0,29566.555,22.0,14.72140321,33.33333333,1.280762079,,,
412.0,96.66666667,101.0,29566.555,22.0,14.72140321,33.33333333,1.280762079,,,
413.0,97.08333333,102.0,29566.555,22.0,15.056319743278692,34.28571429,1.3098998176803283,,,
414.0,97.5,101.0,29218.48,22.0,15.50890965311476,33.33333333,1.349275140221312,,,
415.0,97.91666667,102.0,29218.48,22.0,15.73377842241379,34.28571429,1.3688387234137929,,,
416.0,98.33333333,102.0,29218.48,22.0,15.427297863793104,34.28571429,1.3421749147931035,,,
417.0,98.75,102.0,30440.61,22.0,15.12081730517242,34.28571429,1.3155111061724143,,,
418.0,99.16666667,102.0,30440.61,21.0,15.033014766756752,34.28571429,1.3078722853243239,,,
419.0,99.58333333,103.0,30440.61,21.0,15.273229258648644,35.23809524,1.3287709461351347,,,
420.0,100.0,103.0,30440.61,21.0,15.513443750540537,35.23809524,1.3496696069459457,,,
421.0,100.41666670000001,103.0,30347.79,21.0,15.75365824243243,35.23809524,1.3705682677567566,,,
422.0,100.83333329999999,103.0,30347.79,20.0,15.82572259,35.23809524,1.376837866,,,
423.0,101.25,103.0,30347.79,20.0,15.82572259,35.23809524,1.376837866,,,
424.0,101.66666670000001,103.0,30185.355,20.0,15.82572259,35.23809524,1.376837866,,,
425.0,102.08333329999999,103.0,30185.355,20.0,15.770172988749998,35.23809524,1.3720050506875,,,
426.0,102.5,104.0,30185.355,20.0,15.461564092916664,36.19047619,1.3451560767291664,,,
427.0,102.91666670000001,104.0,29272.625,20.0,15.15295519708333,36.19047619,1.318307102770833,,,
428.0,103.33333329999999,105.0,29272.625,20.0,14.93692897,37.14285714,1.299512821,,,
429.0,103.75,105.0,29674.845,20.0,14.93692897,37.14285714,1.299512821,,,
430.0,104.16666670000001,105.0,29674.845,20.0,14.93692897,37.14285714,1.299512821,,,
431.0,104.58333329999999,106.0,29674.845,20.0,15.76851274431997,38.095238099999996,1.3718606093439976,,,
432.0,105.0,106.0,30138.945,20.0,16.83464578831997,38.095238099999996,1.4646141841439975,,,
